epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1221.31,1.27476,1.18444,1.18581,0.29993,0.20437,0.17286,0.08342,2.06293,2.98967,1.83482,0.000704644,0.000704644,0.000704644
43,1246.56,1.21905,1.16517,1.18382,0.29993,0.20437,0.17286,0.08342,2.06293,2.98967,1.83482,0.000709599,0.000709599,0.000709599
44,1271.82,1.26193,1.15376,1.15331,0.32333,0.2002,0.1788,0.09069,1.99991,3.03298,1.80102,0.000713987,0.000713987,0.000713987
45,1297.43,1.34038,1.193,1.18943,0.32333,0.2002,0.1788,0.09069,1.99991,3.03298,1.80102,0.00071781,0.00071781,0.00071781
46,1323.17,1.28058,1.15487,1.1456,0.36243,0.20837,0.18682,0.09516,1.93237,2.95132,1.75762,0.000721066,0.000721066,0.000721066
47,1348.56,1.17996,1.1266,1.15313,0.36243,0.20837,0.18682,0.09516,1.93237,2.95132,1.75762,0.000723757,0.000723757,0.000723757
48,1374.4,1.25027,1.08267,1.1455,0.29597,0.15382,0.18543,0.09166,1.98059,2.83071,1.78183,0.000725882,0.000725882,0.000725882
49,1398.92,1.2607,1.17095,1.16283,0.29597,0.15382,0.18543,0.09166,1.98059,2.83071,1.78183,0.000727441,0.000727441,0.000727441
50,1424.48,1.21394,1.10822,1.13395,0.32675,0.15321,0.19141,0.0931,2.01368,2.78565,1.77861,0.000728434,0.000728434,0.000728434
51,1450.74,1.18525,1.10197,1.11517,0.32675,0.15321,0.19141,0.0931,2.01368,2.78565,1.77861,0.000721645,0.000721645,0.000721645
52,1475.97,1.23757,1.29157,1.19185,0.30475,0.23382,0.20995,0.09445,2.06399,2.66769,1.77943,0.000707498,0.000707498,0.000707498
53,1501.65,1.18343,1.09464,1.13312,0.30475,0.23382,0.20995,0.09445,2.06399,2.66769,1.77943,0.000693351,0.000693351,0.000693351
54,1527.36,1.26348,1.14713,1.15125,0.29835,0.34191,0.25974,0.11806,1.98055,2.43319,1.7385,0.000679204,0.000679204,0.000679204
55,1553.73,1.20111,1.07093,1.13219,0.29835,0.34191,0.25974,0.11806,1.98055,2.43319,1.7385,0.000665057,0.000665057,0.000665057
56,1578.45,1.18632,1.05104,1.13717,0.3126,0.36871,0.28722,0.14027,1.92859,2.20497,1.71552,0.000650909,0.000650909,0.000650909
57,1604.82,1.15435,1.01186,1.11383,0.3126,0.36871,0.28722,0.14027,1.92859,2.20497,1.71552,0.000636762,0.000636762,0.000636762
58,1630.89,1.25517,1.06183,1.14628,0.43875,0.30525,0.32965,0.1537,1.95055,2.12329,1.73417,0.000622615,0.000622615,0.000622615
59,1657.03,1.16518,1.05781,1.10659,0.43875,0.30525,0.32965,0.1537,1.95055,2.12329,1.73417,0.000608468,0.000608468,0.000608468
60,1683.62,1.20391,1.01452,1.11885,0.33653,0.36279,0.31738,0.15782,1.95258,2.12868,1.72213,0.000594321,0.000594321,0.000594321
61,1710.44,1.16843,1.02686,1.10926,0.33653,0.36279,0.31738,0.15782,1.95258,2.12868,1.72213,0.000580174,0.000580174,0.000580174
62,1736.88,1.16956,1.07557,1.12707,0.33188,0.32101,0.31098,0.15361,1.9975,2.19849,1.74026,0.000566027,0.000566027,0.000566027
63,1763.63,1.16547,1.00319,1.11023,0.33188,0.32101,0.31098,0.15361,1.9975,2.19849,1.74026,0.00055188,0.00055188,0.00055188
64,1790.45,1.07797,0.96264,1.05033,0.46213,0.24624,0.28707,0.14073,2.03482,2.34607,1.72954,0.000537733,0.000537733,0.000537733
65,1816.2,1.18604,1.09875,1.12288,0.46213,0.24624,0.28707,0.14073,2.03482,2.34607,1.72954,0.000523586,0.000523586,0.000523586
66,1842.86,1.1609,1.20775,1.1538,0.26259,0.31822,0.26126,0.12217,2.06626,2.54064,1.75015,0.000509438,0.000509438,0.000509438
67,1869.13,1.05653,0.96375,1.06431,0.26259,0.31822,0.26126,0.12217,2.06626,2.54064,1.75015,0.000495291,0.000495291,0.000495291
68,1895.2,1.11612,1.05441,1.12017,0.29091,0.32407,0.27966,0.13095,2.07526,2.62669,1.76738,0.000481144,0.000481144,0.000481144
69,1921.24,1.1151,1.08448,1.09496,0.29091,0.32407,0.27966,0.13095,2.07526,2.62669,1.76738,0.000466997,0.000466997,0.000466997
70,1948.34,1.09359,0.99641,1.0628,0.29762,0.32067,0.31342,0.15439,2.05188,2.50077,1.78628,0.00045285,0.00045285,0.00045285
71,1974.81,1.06231,0.99377,1.06058,0.29762,0.32067,0.31342,0.15439,2.05188,2.50077,1.78628,0.000438703,0.000438703,0.000438703
72,2001.14,1.04689,0.94872,1.06627,0.46257,0.25672,0.31407,0.1527,2.04487,2.25446,1.75527,0.000424556,0.000424556,0.000424556
73,2027.36,1.11296,0.96774,1.07169,0.46257,0.25672,0.31407,0.1527,2.04487,2.25446,1.75527,0.000410409,0.000410409,0.000410409
