epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1116.73,2.19663,2.66531,2.02225,0.18381,0.15207,0.11788,0.04611,2.26584,2.82882,2.21137,0.000848969,0.000848969,0.000848969
43,1141.75,2.23388,2.63899,2.03571,0.22465,0.22091,0.13213,0.05313,2.26594,2.85606,2.24512,0.000834822,0.000834822,0.000834822
44,1169.15,2.15186,2.65406,2.02591,0.17882,0.2128,0.123,0.04647,2.30322,2.82751,2.21501,0.000820675,0.000820675,0.000820675
45,1195.25,2.16783,2.62062,2.03088,0.19317,0.20727,0.11111,0.04429,2.20182,2.86106,2.21756,0.000806528,0.000806528,0.000806528
46,1221.4,2.15951,2.6016,2.01489,0.19633,0.20065,0.10611,0.04234,2.21526,2.82628,2.18616,0.00079238,0.00079238,0.00079238
47,1247.2,2.15906,2.60657,2.00417,0.21732,0.1674,0.11276,0.04913,2.19845,2.84583,2.21045,0.000778233,0.000778233,0.000778233
48,1273.05,2.15004,2.61179,2.02168,0.25948,0.20964,0.13341,0.0527,2.21026,2.79269,2.18413,0.000764086,0.000764086,0.000764086
49,1298.66,2.12481,2.57828,1.98317,0.22024,0.20871,0.14663,0.0558,2.20651,2.7815,2.21901,0.000749939,0.000749939,0.000749939
50,1323.82,2.13746,2.61402,2.02674,0.15405,0.18542,0.10784,0.04227,2.25453,2.9987,2.20381,0.000735792,0.000735792,0.000735792
51,1350.02,2.13211,2.58353,2.00622,0.26937,0.23614,0.15807,0.05885,2.17278,2.71735,2.18241,0.000721645,0.000721645,0.000721645
52,1377.4,2.15045,2.56543,2.0147,0.21122,0.2017,0.12548,0.04823,2.25541,2.8007,2.21611,0.000707498,0.000707498,0.000707498
53,1403.58,2.11475,2.57155,1.99329,0.23821,0.20664,0.14612,0.05904,2.2346,2.80529,2.15785,0.000693351,0.000693351,0.000693351
54,1429.29,2.12847,2.52769,1.9797,0.21938,0.21218,0.13384,0.05549,2.15775,2.72346,2.17721,0.000679204,0.000679204,0.000679204
55,1454.82,2.13259,2.54818,2.02088,0.24881,0.26015,0.17299,0.06871,2.19791,2.72087,2.1648,0.000665057,0.000665057,0.000665057
56,1479.43,2.13841,2.51633,2.00862,0.20942,0.23163,0.14722,0.06039,2.2137,2.72886,2.18889,0.000650909,0.000650909,0.000650909
57,1504.01,2.10539,2.50994,1.98995,0.25051,0.23486,0.16304,0.06061,2.24829,2.7051,2.25535,0.000636762,0.000636762,0.000636762
58,1529.39,2.10987,2.55251,1.99629,0.23944,0.22766,0.14551,0.05724,2.24663,2.75744,2.18526,0.000622615,0.000622615,0.000622615
59,1554.78,2.12633,2.49174,1.97827,0.22888,0.24741,0.1519,0.06025,2.17023,2.76346,2.13463,0.000608468,0.000608468,0.000608468
60,1581.59,2.09792,2.52268,1.96737,0.38154,0.22835,0.16394,0.06357,2.19267,2.80378,2.14947,0.000594321,0.000594321,0.000594321
61,1607.12,2.06709,2.51195,1.95528,0.24697,0.26037,0.16728,0.07183,2.21905,2.74064,2.18172,0.000580174,0.000580174,0.000580174
62,1631.69,2.10653,2.5084,1.99146,0.24038,0.24203,0.16112,0.07003,2.20414,2.69908,2.18251,0.000566027,0.000566027,0.000566027
63,1656.4,2.07821,2.4938,1.9535,0.22262,0.25546,0.15389,0.06874,2.17542,2.73235,2.11439,0.00055188,0.00055188,0.00055188
64,1681.7,2.08915,2.47501,1.9531,0.20827,0.23074,0.14146,0.06015,2.16484,2.75571,2.13634,0.000537733,0.000537733,0.000537733
65,1707.17,2.0752,2.46815,1.95349,0.20382,0.2444,0.14571,0.06339,2.19583,2.79189,2.13,0.000523586,0.000523586,0.000523586
66,1733.16,2.07442,2.45377,1.95208,0.24001,0.21864,0.15755,0.06855,2.1557,2.66994,2.18678,0.000509438,0.000509438,0.000509438
67,1758.22,2.08901,2.46364,1.9755,0.24952,0.24899,0.16397,0.07017,2.17006,2.64762,2.16305,0.000495291,0.000495291,0.000495291
68,1783.09,2.07357,2.46331,1.96964,0.26437,0.2848,0.18544,0.07785,2.20813,2.71327,2.15321,0.000481144,0.000481144,0.000481144
69,1810.49,2.04122,2.42685,1.93599,0.28334,0.24928,0.17457,0.07871,2.17118,2.73872,2.11059,0.000466997,0.000466997,0.000466997
70,1836.06,2.03241,2.41507,1.93471,0.2658,0.28378,0.17532,0.07896,2.22061,2.74021,2.15159,0.00045285,0.00045285,0.00045285
71,1862.38,2.07793,2.40555,1.95547,0.29152,0.295,0.17613,0.07579,2.17946,2.77083,2.15401,0.000438703,0.000438703,0.000438703
72,1888.3,2.06104,2.3933,1.93847,0.25541,0.26667,0.18862,0.08117,2.26386,2.77462,2.19215,0.000424556,0.000424556,0.000424556
73,1913.85,2.058,2.39892,1.91158,0.25316,0.27036,0.18265,0.07552,2.24676,2.69499,2.17705,0.000410409,0.000410409,0.000410409
74,1938.97,2.00077,2.35718,1.8916,0.25771,0.27654,0.18588,0.08281,2.19978,2.66617,2.16498,0.000396262,0.000396262,0.000396262
75,1964.66,2.04977,2.38393,1.92176,0.26289,0.27421,0.20108,0.08598,2.15872,2.61332,2.12225,0.000382115,0.000382115,0.000382115
76,1990.44,2.04154,2.37534,1.9058,0.34771,0.27815,0.20402,0.08119,2.15836,2.5847,2.13818,0.000367967,0.000367967,0.000367967
77,2018.02,2.03562,2.33366,1.90824,0.22708,0.26485,0.18544,0.08137,2.22677,2.59457,2.19165,0.00035382,0.00035382,0.00035382
78,2044.11,2.0011,2.372,1.92023,0.21427,0.24767,0.16457,0.0743,2.16948,2.71228,2.1581,0.000339673,0.000339673,0.000339673
79,2070.05,2.02434,2.35266,1.92488,0.29642,0.27629,0.17316,0.07914,2.19925,2.6465,2.15903,0.000325526,0.000325526,0.000325526
80,2094.93,2.00098,2.33907,1.90359,0.27758,0.26911,0.18759,0.08349,2.14335,2.55886,2.14752,0.000311379,0.000311379,0.000311379
81,2121.02,1.98437,2.30285,1.8812,0.26076,0.28322,0.18698,0.08443,2.18027,2.64856,2.12018,0.000297232,0.000297232,0.000297232
82,2147.06,2.0221,2.30284,1.88503,0.23385,0.29025,0.16734,0.07414,2.20652,2.75451,2.13326,0.000283085,0.000283085,0.000283085
83,2172.89,1.98108,2.30814,1.86939,0.22625,0.31011,0.17982,0.0818,2.19262,2.80697,2.13006,0.000268938,0.000268938,0.000268938
84,2198.67,1.98424,2.30718,1.86796,0.29747,0.29687,0.20141,0.08756,2.17699,2.57934,2.13256,0.000254791,0.000254791,0.000254791
85,2226.23,1.98801,2.28538,1.87672,0.28548,0.26185,0.19844,0.08893,2.17496,2.53984,2.14958,0.000240644,0.000240644,0.000240644
