imagem_1,imagem_2,algoritmo,similaridade_%,classificacao,resultado_path
PAP-0005 Cad.jpg,PAP-0005 Op.jpg,SIFT,8.75,Verdadeiro Negativo (TN),"person, bench, fire hydrant, bench","person, parking meter, person, person, person, person, person, person, parking meter, person, person, motorcycle, person, motorcycle, person, person",resultado_PAP-0005 Cad.jpg_PAP-0005 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0005 Op.jpg,YOLO,8.0,Verdadeiro Negativo (TN),"person, bench, fire hydrant, bench","person, parking meter, person, person, person, person, person, person, parking meter, person, person, motorcycle, person, motorcycle, person, person",resultado_PAP-0005 Cad.jpg_PAP-0005 Op.jpg.jpg
PAP-0005 Op.jpg,PAP-0005 Op.jpg,YOLO,100.0,Verdadeiro Positivo (TP),"person, parking meter, person, person, person, person, person, person, parking meter, person, person, motorcycle, person, motorcycle, person, person","person, parking meter, person, person, person, person, person, person, parking meter, person, person, motorcycle, person, motorcycle, person, person",resultado_PAP-0005 Op.jpg_PAP-0005 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0005 Op.jpg,YOLO,8.0,Verdadeiro Negativo (TN),"person, bench, fire hydrant, bench","person, parking meter, person, person, person, person, person, person, parking meter, person, person, motorcycle, person, motorcycle, person, person",resultado_PAP-0005 Cad.jpg_PAP-0005 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0005 Op.jpg,YOLO,8.0,Verdadeiro Negativo (TN),"person, bench, fire hydrant, bench","person, parking meter, person, person, person, person, person, person, parking meter, person, person, motorcycle, person, motorcycle, person, person",resultado_PAP-0005 Cad.jpg_PAP-0005 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0026 Op.jpg,YOLO,6.67,Verdadeiro Negativo (TN),"person, bench, fire hydrant, bench","person, parking meter, person, parking meter, car, umbrella, person",resultado_PAP-0005 Cad.jpg_PAP-0026 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0030 Op.jpg,YOLO,70.0,Verdadeiro Positivo (TP),"person, bench, fire hydrant, bench","car, car, person, person, person",resultado_PAP-0005 Cad.jpg_PAP-0030 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0031 Op.jpg,YOLO,8.0,Verdadeiro Negativo (TN),"person, bench, fire hydrant, bench","person, person, person, person, person, person, parking meter, person, truck",resultado_PAP-0005 Cad.jpg_PAP-0031 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0072 Op.jpg,YOLO,60.0,Verdadeiro Negativo (TN),"person, bench, fire hydrant, bench","car, car, car",resultado_PAP-0005 Cad.jpg_PAP-0072 Op.jpg.jpg
PAP-0005 Cad.jpg,PAP-0166 Op.jpg,YOLO,60.0,Verdadeiro Negativo (TN),"person, bench, fire hydrant, bench","car, car, car, car, car, car, car, car, car, car, car, car, parking meter, car",resultado_PAP-0005 Cad.jpg_PAP-0166 Op.jpg.jpg
PAP-0026 Cad.jpg,PAP-0005 Cad.jpg,YOLO,70.0,Verdadeiro Positivo (TP),"car, fire hydrant","person, bench, fire hydrant, bench",resultado_PAP-0026 Cad.jpg_PAP-0005 Cad.jpg.jpg
